id_achat,id_client,produit,montant,date_achat
69,864,Phone,1322.47,2025-02-10
70,902,Laptop,40.13,2025-11-05
71,853,Monitor,1309.42,2025-05-17
72,719,Laptop,1196.83,2025-10-20
73,293,Camera,1111.76,2025-11-22
74,732,Phone,1100.6,2025-09-26
75,576,Camera,1209.68,2025-01-23
76,1258,Phone,566.66,2025-12-23
77,95,Phone,828.06,2025-11-20
78,1035,Monitor,224.08,2025-01-31
79,72,Monitor,137.71,2025-10-16
80,248,Monitor,1359.19,2025-11-08
81,144,Phone,678.4,2025-01-29
82,900,Phone,1215.07,2025-12-11
83,1106,Monitor,275.1,2025-03-10
84,1494,Monitor,857.56,2025-07-16
85,672,Tablet,827.75,2025-08-25
86,1373,Laptop,134.65,2025-03-26
87,145,Headphones,90.17,2025-02-02
88,333,Monitor,163.61,2025-06-19
89,950,Laptop,719.75,2025-02-04
90,446,Phone,1760.19,2025-07-01
91,855,Phone,1916.63,2025-09-25
92,1032,Laptop,1333.01,2025-09-04
93,204,Monitor,1291.14,2025-06-16
94,578,Phone,1427.98,2025-08-18
95,778,Monitor,315.87,2025-10-14
96,375,Camera,1595.15,2025-08-14
97,640,Monitor,59.73,2025-10-30
98,1227,Tablet,755.09,2025-12-20
99,663,Tablet,746.51,2025-11-15
100,768,Monitor,37.01,2025-05-31
101,405,Camera,962.77,2025-07-24
102,1403,Tablet,50.95,2025-09-27
103,1033,Tablet,1383.39,2025-04-15
104,708,Laptop,1598.98,2025-06-06
105,310,Laptop,877.82,2025-07-18
106,1314,Tablet,1084.89,2025-11-21
107,1473,Phone,870.45,2025-05-23
108,415,Tablet,1578.05,2025-01-25
109,332,Tablet,373.83,2025-10-08
110,978,Monitor,1863.05,2025-04-24
111,948,Headphones,1326.44,2025-10-24
112,363,Headphones,672.63,2025-08-24
113,238,Monitor,1354.67,2025-04-22
114,549,Camera,329.05,2025-06-17
115,1488,Tablet,1532.69,2025-01-29
116,531,Laptop,480.59,2025-10-27
117,26,Headphones,1502.63,2026-01-03
118,702,Monitor,37.01,2025-08-15
119,987,Tablet,436.93,2025-09-04
120,1027,Monitor,1640.19,2025-06-19
121,1098,Laptop,54.88,2026-01-03
122,316,Headphones,1434.55,2025-07-27
123,411,Laptop,249.44,2025-10-05
124,936,Tablet,1159.0,2025-10-08
125,1325,Laptop,1721.22,2025-07-30
126,127,Camera,581.65,2025-03-22
127,894,Camera,828.66,2025-09-05
128,1313,Headphones,925.27,2025-12-13
129,858,Laptop,1142.15,2025-11-02
130,1251,Monitor,205.32,2025-08-11
131,204,Headphones,1809.9,2025-08-31
132,1080,Camera,860.88,2025-10-09
133,387,Tablet,391.84,2025-12-08
134,1174,Phone,140.19,2025-09-03
135,58,Tablet,516.07,2026-01-02
136,248,Phone,1212.79,2025-12-10
137,1108,Tablet,1778.0,2025-11-11
138,1474,Phone,560.42,2025-02-13
139,1356,Phone,1001.53,2025-02-27
140,950,Camera,605.55,2025-09-21
141,122,Monitor,965.67,2025-06-25
142,1268,Monitor,1359.59,2025-01-31
143,823,Phone,896.87,2025-05-19
144,1046,Monitor,1518.33,2025-05-01
145,1112,Monitor,1173.57,2025-04-17
146,1499,Laptop,1053.56,2026-01-02
147,182,Phone,1993.01,2025-06-19
148,842,Monitor,417.61,2025-05-03
149,1326,Headphones,860.76,2025-06-19
150,1270,Tablet,418.8,2025-11-02
151,1048,Tablet,990.25,2025-11-23
152,792,Laptop,201.26,2025-09-01
153,831,Camera,1000.59,2025-05-24
154,681,Laptop,1294.58,2025-08-07
155,663,Laptop,1654.48,2025-07-21
156,184,Camera,354.41,2025-11-28
157,527,Monitor,668.5,2025-12-21
158,779,Monitor,1486.11,2025-03-05
159,701,Phone,1026.57,2025-07-30
160,1384,Laptop,1035.66,2025-01-30
161,1445,Headphones,1305.91,2025-09-07
162,533,Phone,367.82,2025-12-04
163,92,Tablet,1950.26,2025-03-29
164,642,Phone,270.97,2025-09-19
165,438,Phone,1025.81,2025-11-06
166,299,Tablet,1848.59,2025-01-28
167,1471,Monitor,903.55,2025-02-22
168,249,Monitor,1961.95,2025-06-09
169,940,Laptop,59.88,2025-12-25
170,281,Tablet,1981.7,2025-05-21
171,1291,Camera,260.6,2025-12-30
172,387,Monitor,561.69,2025-10-31
173,929,Tablet,989.27,2025-04-23
174,1412,Tablet,1613.2,2025-07-11
175,1451,Headphones,161.24,2026-01-14
176,705,Laptop,1562.33,2025-06-03
177,1499,Monitor,676.67,2025-08-22
178,896,Laptop,1469.63,2025-02-02
179,465,Tablet,600.81,2025-03-13
180,901,Laptop,296.54,2025-04-13
181,60,Tablet,1581.86,2025-09-17
182,138,Laptop,1145.71,2025-03-06
183,1431,Camera,1307.94,2025-06-26
184,1083,Camera,61.23,2025-08-20
185,1014,Headphones,1355.35,2025-10-23
186,1416,Phone,127.62,2025-10-30
187,644,Tablet,1713.85,2025-12-08
188,516,Headphones,1300.79,2025-10-19
189,653,Phone,167.82,2025-07-15
190,567,Laptop,936.88,2025-06-13
191,46,Monitor,310.65,2025-01-30
192,130,Camera,943.65,2025-10-15
193,801,Camera,1235.83,2025-11-10
194,98,Headphones,176.12,2025-01-24
195,496,Monitor,238.76,2025-07-13
196,827,Phone,272.64,2025-08-14
197,1163,Phone,876.23,2025-08-05
198,869,Tablet,1291.94,2025-07-28
199,1101,Headphones,1779.21,2025-05-06
200,227,Headphones,1943.94,2025-09-18
201,941,Headphones,62.27,2025-01-24
202,1454,Monitor,1557.33,2025-07-25
203,523,Headphones,451.44,2025-11-29
204,1299,Laptop,614.91,2025-10-11
205,48,Monitor,1751.44,2025-05-31
206,79,Camera,180.51,2025-12-09
207,525,Camera,295.73,2025-04-02
208,940,Headphones,239.44,2025-07-27
209,706,Phone,268.16,2025-11-01
210,883,Headphones,1946.36,2025-08-17
211,328,Phone,478.53,2025-11-19
212,499,Camera,210.78,2025-09-04
213,509,Phone,1765.47,2025-09-23
214,766,Laptop,305.76,2025-04-14
215,65,Laptop,522.08,2025-07-23
216,628,Laptop,858.08,2025-02-28
217,1149,Phone,1090.43,2025-04-28
218,1400,Camera,1306.61,2025-05-12
219,1392,Laptop,633.53,2025-02-12
220,797,Laptop,775.04,2025-02-20
221,11,Monitor,1824.43,2025-01-29
222,750,Monitor,1208.65,2025-10-22
223,53,Tablet,1203.37,2025-02-27
224,986,Laptop,1243.17,2025-05-28
225,688,Laptop,1251.74,2025-12-14
226,26,Tablet,243.05,2025-02-03
227,1459,Laptop,869.99,2025-01-30
228,898,Tablet,549.43,2025-02-25
229,372,Camera,1413.06,2025-11-10
230,1343,Phone,1495.74,2025-08-20
231,608,Headphones,843.27,2025-07-12
232,873,Monitor,1057.69,2025-04-13
233,523,Camera,1789.06,2025-06-01
234,985,Headphones,877.81,2025-07-12
235,381,Tablet,1423.1,2025-10-28
236,1379,Phone,95.92,2025-09-15
237,752,Phone,878.94,2025-07-03
238,688,Headphones,276.93,2025-06-03
239,450,Monitor,778.02,2025-09-30
240,644,Phone,1590.72,2025-07-26
241,1149,Phone,595.5,2025-12-06
242,745,Headphones,1942.21,2025-06-13
243,118,Camera,361.76,2025-04-15
244,1226,Camera,359.94,2025-09-17
245,981,Camera,1327.25,2025-03-02
246,211,Laptop,1206.8,2026-01-06
247,1006,Camera,944.9,2025-02-23
248,597,Laptop,1056.25,2025-10-23
249,495,Laptop,540.31,2025-05-07
250,1225,Phone,1353.78,2025-11-25
251,766,Phone,550.28,2025-12-23
252,1034,Laptop,165.03,2025-12-14
253,1034,Tablet,1718.54,2025-02-01
254,225,Phone,216.26,2026-01-05
255,1084,Monitor,1077.33,2025-02-20
256,1259,Tablet,912.23,2026-01-16
257,997,Phone,1924.85,2025-12-15
258,739,Headphones,164.42,2025-12-11
259,1359,Tablet,909.34,2025-03-13
260,1347,Tablet,889.0,2025-10-10
261,1309,Camera,500.4,2026-01-17
262,877,Phone,896.73,2025-05-07
263,1482,Phone,1655.86,2025-03-10
264,449,Headphones,1841.11,2025-05-21
265,357,Phone,645.26,2025-08-16
266,773,Headphones,835.21,2025-02-06
267,1343,Laptop,927.81,2025-08-19
268,1130,Monitor,358.22,2025-10-09
269,145,Camera,1481.61,2025-04-03
270,303,Camera,1368.83,2025-05-06
271,1482,Laptop,1705.33,2025-09-08
272,93,Monitor,1911.22,2025-12-13
273,893,Monitor,1125.41,2025-09-10
274,1201,Headphones,1014.71,2025-07-01
275,1094,Monitor,640.88,2025-12-13
276,289,Phone,406.75,2025-03-26
277,1047,Headphones,1677.91,2025-12-09
278,521,Phone,1972.57,2025-02-12
279,168,Phone,1269.35,2025-09-27
280,384,Phone,737.09,2025-09-06
281,1226,Headphones,244.26,2025-07-03
282,449,Monitor,1778.62,2026-01-05
283,607,Headphones,603.58,2025-02-17
284,973,Phone,1289.71,2025-11-13
285,535,Tablet,384.05,2025-06-10
286,940,Phone,298.0,2025-04-07
287,364,Headphones,391.11,2025-06-15
288,929,Phone,414.87,2025-10-03
289,803,Headphones,487.12,2025-04-04
290,53,Headphones,884.88,2025-11-30
291,1030,Monitor,738.36,2025-08-13
292,1057,Headphones,946.99,2025-03-04
293,1158,Monitor,1942.15,2025-10-21
294,108,Camera,1472.37,2025-08-29
295,317,Camera,61.87,2025-03-08
296,513,Phone,1482.72,2026-01-18
297,1058,Tablet,1640.54,2025-09-18
298,827,Monitor,1982.06,2025-07-04
299,330,Headphones,1726.37,2026-01-06
300,994,Laptop,970.57,2025-10-18
301,1183,Camera,1649.22,2025-03-03
302,33,Laptop,1190.4,2025-02-19
303,921,Headphones,133.65,2025-11-11
304,872,Phone,1184.68,2025-04-27
305,1212,Monitor,726.02,2025-08-05
306,147,Monitor,1793.12,2025-08-13
307,195,Tablet,1823.37,2025-08-29
308,1360,Tablet,1168.66,2025-02-18
309,198,Phone,157.54,2025-12-03
310,282,Laptop,312.61,2025-03-20
311,88,Laptop,1089.65,2025-05-04
312,299,Laptop,95.16,2025-05-30
313,241,Phone,832.94,2025-05-07
314,338,Tablet,317.61,2025-03-11
315,844,Camera,1799.87,2025-08-07
316,54,Tablet,840.94,2025-06-11
317,903,Camera,1123.16,2025-03-08
318,1371,Laptop,1468.48,2025-07-08
319,159,Phone,892.35,2025-10-08
320,1415,Laptop,1527.8,2026-01-19
321,1169,Tablet,1859.05,2025-04-03
322,111,Camera,1134.01,2025-07-23
323,1240,Monitor,246.11,2025-08-18
324,447,Headphones,961.85,2025-08-18
325,627,Headphones,1686.57,2025-03-21
326,371,Monitor,1530.32,2025-05-07
327,1432,Monitor,1424.65,2025-12-23
328,1263,Headphones,358.11,2025-12-20
329,342,Camera,1915.26,2025-09-03
330,943,Phone,1025.73,2025-03-10
331,1495,Headphones,1860.14,2025-07-23
332,646,Tablet,895.3,2025-03-29
333,1301,Phone,1270.71,2025-04-29
334,83,Phone,697.6,2025-06-11
335,330,Laptop,1801.83,2025-01-21
336,1159,Headphones,1157.77,2025-03-01
337,1104,Monitor,1562.83,2025-07-22
338,944,Tablet,120.46,2025-02-01
339,324,Headphones,1027.72,2026-01-01
340,256,Headphones,1632.21,2026-01-08
341,522,Headphones,1454.16,2025-06-11
342,831,Phone,744.07,2025-02-01
343,535,Phone,742.65,2025-02-25
344,1253,Laptop,1546.44,2025-04-15
345,744,Monitor,1044.24,2025-08-08
346,211,Phone,983.57,2025-02-07
347,1324,Camera,473.09,2025-02-25
348,1428,Monitor,903.61,2025-04-06
349,964,Tablet,1190.91,2025-05-01
350,851,Monitor,498.51,2025-06-05
351,121,Headphones,760.55,2025-11-11
352,840,Camera,1489.32,2025-12-04
353,28,Camera,509.29,2025-04-08
354,1296,Monitor,1268.83,2025-03-01
355,519,Tablet,846.43,2025-10-06
356,1323,Tablet,83.24,2025-04-11
357,535,Laptop,1512.59,2025-11-28
358,1255,Tablet,772.98,2025-11-10
359,1037,Phone,1083.78,2025-07-27
360,819,Headphones,717.34,2025-10-22
361,703,Camera,688.48,2025-03-09
362,639,Monitor,1003.8,2025-06-30
363,636,Headphones,1193.29,2025-06-30
364,17,Laptop,173.96,2025-08-30
365,229,Phone,712.49,2026-01-08
366,1449,Camera,1246.56,2025-08-07
367,1127,Laptop,58.05,2025-04-16
368,394,Tablet,1179.85,2025-08-10
369,1105,Monitor,64.51,2025-06-25
370,123,Headphones,886.08,2025-10-15
371,987,Phone,347.21,2025-10-14
372,451,Monitor,884.13,2025-03-09
373,576,Camera,1756.13,2025-01-25
374,600,Laptop,1359.2,2025-07-30
375,521,Monitor,1629.71,2025-12-15
376,553,Headphones,175.5,2025-05-10
377,1017,Headphones,588.67,2025-07-12
378,1348,Camera,1965.55,2025-08-19
379,392,Headphones,718.38,2025-08-12
380,1223,Headphones,1276.8,2025-04-30
381,1273,Phone,1991.56,2025-07-30
382,696,Laptop,1607.99,2025-08-30
383,38,Tablet,1655.5,2025-11-11
384,1168,Tablet,874.73,2025-03-17
385,922,Laptop,1423.63,2025-05-17
386,834,Laptop,54.19,2025-02-02
387,933,Phone,1889.85,2025-05-09
388,1192,Laptop,578.14,2025-03-01
389,895,Tablet,691.55,2025-02-07
390,1280,Monitor,1280.75,2025-09-27
391,365,Camera,224.36,2025-03-25
392,38,Tablet,1602.32,2025-09-09
393,409,Laptop,1261.01,2025-02-02
394,320,Tablet,61.22,2025-03-13
395,433,Camera,747.57,2025-08-24
396,1470,Laptop,1142.82,2025-06-12
397,293,Laptop,603.17,2025-02-03
398,370,Laptop,897.41,2025-01-23
399,1021,Monitor,640.47,2025-04-11
400,861,Monitor,1934.91,2025-11-14
401,1472,Phone,1881.83,2025-10-25
402,8,Phone,1340.8,2025-03-18
403,336,Monitor,279.03,2025-03-10
404,979,Camera,83.22,2025-03-26
405,1167,Camera,1242.18,2025-03-02
406,929,Tablet,1370.93,2025-01-25
407,75,Tablet,305.28,2025-02-10
408,1325,Tablet,965.84,2025-09-29
409,979,Phone,1688.6,2025-08-06
410,919,Phone,561.11,2025-01-20
411,472,Laptop,761.64,2025-02-09
412,1316,Phone,1193.22,2026-01-11
413,469,Tablet,1148.52,2025-12-06
414,1235,Phone,1693.25,2025-10-09
415,652,Camera,456.18,2025-09-12
416,508,Monitor,744.34,2025-05-07
417,541,Laptop,1321.93,2025-07-06
418,412,Tablet,1464.95,2026-01-10
419,702,Phone,608.79,2025-12-21
420,467,Laptop,602.71,2025-03-25
421,1010,Monitor,944.04,2025-03-15
422,841,Tablet,1772.6,2025-04-11
423,332,Tablet,1961.69,2025-12-29
424,649,Tablet,1381.72,2025-11-12
425,624,Laptop,1961.36,2025-08-09
426,1397,Headphones,1094.33,2025-04-23
427,1091,Laptop,1455.09,2025-07-10
428,1335,Laptop,1796.48,2025-02-23
429,1141,Monitor,1648.57,2025-07-07
430,800,Camera,1367.33,2025-08-02
431,760,Monitor,374.13,2025-11-03
432,450,Phone,222.94,2025-02-22
433,738,Phone,1151.47,2025-09-17
434,946,Phone,218.24,2025-07-28
435,178,Phone,1245.29,2025-06-19
436,6,Headphones,1636.22,2025-03-20
437,175,Tablet,137.8,2025-11-08
438,1351,Phone,186.62,2025-05-07
439,654,Monitor,64.78,2025-07-11
440,1069,Phone,183.23,2025-11-11
441,824,Laptop,842.93,2025-11-13
442,1205,Phone,855.76,2025-10-18
443,1349,Phone,488.96,2025-05-24
444,922,Camera,1849.26,2025-02-09
445,1245,Camera,801.95,2025-03-29
446,731,Monitor,1630.14,2025-02-07
447,8,Laptop,1399.89,2025-11-08
448,140,Headphones,1764.37,2025-10-03
449,1151,Tablet,1136.06,2025-05-29
450,464,Tablet,1949.91,2025-11-13
451,230,Camera,42.22,2025-08-05
452,1448,Camera,1454.55,2025-11-11
453,831,Headphones,1474.26,2025-06-28
454,1066,Camera,1769.15,2025-04-28
455,1147,Phone,53.54,2025-09-02
456,914,Camera,1580.37,2025-02-15
457,1214,Phone,1480.59,2025-10-18
458,163,Headphones,982.65,2025-06-26
459,69,Monitor,1207.15,2025-09-13
460,27,Monitor,1638.82,2025-11-28
461,1136,Headphones,796.59,2025-07-15
462,1358,Monitor,894.14,2025-05-03
463,108,Phone,1129.22,2025-11-21
464,1307,Monitor,536.32,2025-05-08
465,1416,Camera,516.09,2025-05-29
466,456,Phone,1304.83,2025-04-20
467,1399,Laptop,1691.03,2025-08-02
468,721,Phone,304.19,2025-07-28
469,730,Camera,1215.62,2025-02-06
470,850,Phone,1300.88,2025-12-05
471,927,Tablet,1545.61,2025-05-01
472,581,Tablet,1206.97,2025-06-19
473,992,Tablet,1872.67,2025-10-31
474,1084,Headphones,175.84,2025-12-14
475,1457,Laptop,1012.06,2025-08-19
476,1471,Laptop,52.28,2025-06-07
477,1111,Camera,820.15,2025-08-13
478,952,Tablet,1087.78,2025-08-22
479,686,Headphones,263.09,2025-01-19
480,812,Monitor,1754.99,2025-11-06
481,1190,Monitor,1557.97,2025-05-05
482,961,Camera,1068.89,2025-09-19
483,484,Tablet,1575.81,2025-03-20
484,1063,Monitor,1508.78,2025-12-07
485,707,Camera,376.4,2025-12-26
486,23,Tablet,907.52,2026-01-13
487,244,Tablet,847.92,2025-06-22
488,132,Laptop,208.93,2025-09-24
489,1201,Camera,1239.37,2025-09-11
490,243,Phone,437.23,2025-08-18
491,1089,Tablet,41.51,2025-09-08
492,1305,Tablet,850.83,2025-10-02
493,1277,Monitor,427.25,2025-09-13
494,955,Phone,1184.1,2025-11-12
495,1122,Laptop,539.43,2026-01-05
496,25,Monitor,759.66,2025-02-25
497,1177,Laptop,1639.13,2025-02-05
498,1337,Headphones,1243.03,2025-03-26
499,1003,Headphones,1698.15,2025-03-16
500,315,Camera,1610.11,2025-11-01
501,956,Monitor,1116.33,2025-10-10
502,864,Tablet,1161.69,2025-06-29
503,1291,Headphones,1289.37,2025-05-28
504,1049,Tablet,242.31,2025-06-06
505,300,Camera,1915.82,2025-12-08
506,389,Headphones,74.06,2025-07-05
507,238,Monitor,1308.91,2025-09-04
508,1335,Monitor,865.35,2025-07-24
509,510,Tablet,601.55,2025-07-18
510,621,Laptop,174.69,2026-01-03
511,558,Laptop,422.18,2026-01-11
512,1061,Laptop,1285.15,2025-01-27
513,1312,Camera,1049.49,2025-01-30
514,853,Phone,1015.55,2025-10-13
515,323,Camera,972.6,2025-12-07
516,63,Monitor,977.24,2026-01-09
517,239,Laptop,1483.05,2025-11-21
518,277,Camera,1499.69,2025-11-27
519,1444,Phone,1465.46,2025-08-16
520,1290,Tablet,656.93,2025-08-05
521,1153,Phone,1317.49,2025-08-25
522,1285,Laptop,1598.03,2025-03-03
523,364,Camera,1844.54,2025-09-15
524,414,Camera,314.82,2025-07-09
525,338,Camera,889.17,2025-12-24
526,1273,Phone,1662.78,2026-01-03
527,418,Monitor,1379.46,2025-12-25
528,632,Headphones,1570.73,2025-07-22
529,562,Headphones,1754.69,2025-02-06
530,342,Tablet,1359.25,2025-10-29
531,872,Camera,196.02,2025-11-14
532,373,Monitor,1143.85,2025-02-26
533,1076,Camera,239.09,2025-12-14
534,1037,Camera,484.76,2025-10-21
535,1259,Tablet,1598.48,2025-08-03
536,1493,Camera,956.34,2025-04-05
537,1110,Tablet,1145.3,2025-12-11
538,609,Camera,1694.55,2025-11-04
539,259,Headphones,546.13,2025-11-25
540,1278,Laptop,320.87,2025-06-26
541,503,Tablet,1387.14,2025-02-18
542,607,Camera,1047.48,2025-08-11
543,818,Tablet,918.85,2025-07-23
544,84,Laptop,795.6,2025-08-14
545,590,Camera,1115.29,2025-10-20
546,627,Laptop,1336.06,2025-11-01
547,290,Tablet,1986.45,2025-07-09
548,1026,Phone,815.65,2025-04-14
549,1084,Laptop,1633.86,2025-11-14
550,1045,Phone,1474.82,2025-05-08
551,782,Monitor,1196.61,2025-02-01
552,1419,Monitor,353.45,2025-05-03
553,713,Phone,1766.99,2025-10-29
554,157,Camera,484.18,2025-09-02
555,751,Phone,781.56,2025-02-06
556,1230,Tablet,598.01,2025-01-30
557,281,Phone,1044.15,2025-11-16
558,1121,Monitor,396.78,2025-10-28
559,807,Camera,1528.87,2025-10-07
560,1209,Laptop,1625.56,2025-12-20
561,418,Headphones,593.5,2025-08-14
562,1034,Camera,487.24,2025-11-05
563,974,Monitor,1678.0,2025-12-08
564,211,Headphones,1609.62,2025-03-03
565,1239,Headphones,416.08,2025-09-12
566,579,Phone,1538.9,2025-06-12
567,77,Camera,960.02,2025-12-17
568,1181,Headphones,1014.78,2025-09-12
569,1085,Camera,1663.41,2025-03-07
570,1071,Phone,1725.68,2025-10-12
571,780,Tablet,1933.35,2025-12-12
572,74,Phone,858.59,2025-03-04
573,936,Headphones,933.54,2025-04-24
574,1368,Laptop,1700.13,2025-10-27
575,288,Headphones,895.06,2025-05-27
576,248,Monitor,1808.36,2025-02-24
577,173,Phone,1896.56,2025-04-06
578,712,Laptop,403.62,2025-03-20
579,1211,Camera,1976.42,2025-09-16
580,1185,Camera,1149.07,2025-10-18
581,1476,Phone,1576.03,2025-03-17
582,487,Tablet,1483.63,2025-12-15
583,488,Tablet,796.82,2025-06-07
584,1330,Monitor,1825.93,2025-10-01
585,827,Camera,116.14,2025-04-09
586,1449,Headphones,802.08,2025-06-25
587,1135,Tablet,1728.46,2025-12-08
588,456,Tablet,233.9,2025-01-25
589,130,Headphones,1629.48,2025-03-29
590,605,Camera,625.35,2025-05-10
591,1158,Phone,367.03,2025-02-24
592,32,Headphones,310.66,2025-12-30
593,218,Phone,774.47,2025-11-18
594,139,Laptop,735.14,2025-07-27
595,1003,Headphones,88.07,2025-06-20
596,457,Phone,1782.49,2025-08-16
597,682,Tablet,1313.1,2025-07-25
598,921,Monitor,1134.2,2025-06-25
599,859,Monitor,730.17,2026-01-01
600,1494,Tablet,167.49,2025-02-14
601,729,Laptop,279.29,2025-11-01
602,726,Monitor,692.7,2025-04-09
603,470,Tablet,500.39,2025-07-24
604,130,Laptop,894.79,2025-09-03
605,638,Camera,511.66,2025-02-08
606,1080,Monitor,1023.71,2025-09-26
607,355,Tablet,321.32,2025-11-20
608,1446,Headphones,1154.01,2025-12-24
609,852,Tablet,1115.2,2025-09-05
610,352,Laptop,1283.36,2025-10-05
611,1191,Monitor,394.28,2025-05-25
612,375,Laptop,510.09,2025-12-03
613,412,Monitor,1783.81,2025-05-28
614,1404,Monitor,131.05,2025-01-27
615,314,Monitor,470.17,2025-01-21
616,391,Phone,1416.84,2025-07-21
617,518,Laptop,1272.19,2025-10-17
618,1221,Camera,77.22,2025-08-16
619,392,Monitor,1393.68,2025-10-12
620,439,Phone,787.69,2025-07-19
621,938,Monitor,648.7,2025-03-27
622,1466,Monitor,1868.51,2025-05-23
623,802,Monitor,205.58,2025-07-04
624,1196,Phone,1675.47,2025-04-05
625,835,Camera,167.09,2025-10-05
626,962,Monitor,554.68,2026-01-17
627,1094,Tablet,1894.04,2025-07-13
628,706,Monitor,139.13,2025-05-04
629,110,Laptop,749.65,2025-06-04
630,187,Headphones,806.81,2025-02-15
631,790,Monitor,118.24,2025-11-09
632,162,Tablet,71.22,2025-02-02
633,1406,Monitor,765.56,2025-11-03
634,1147,Laptop,1325.9,2025-02-13
635,1122,Monitor,1486.35,2025-02-21
636,522,Monitor,1906.67,2025-07-12
637,1090,Headphones,239.58,2025-09-06
638,1001,Tablet,42.55,2025-11-17
639,684,Monitor,774.86,2025-02-09
640,505,Headphones,1585.86,2025-04-27
641,119,Monitor,1200.41,2025-09-06
642,484,Phone,575.61,2025-08-26
643,839,Phone,1202.52,2025-10-04
644,601,Camera,325.41,2025-06-29
645,535,Monitor,1241.3,2025-12-06
646,1178,Camera,554.83,2025-09-08
647,227,Camera,256.45,2025-07-27
648,1057,Laptop,1202.06,2025-05-13
649,71,Laptop,1588.57,2025-03-08
650,362,Headphones,958.03,2025-12-19
651,647,Laptop,613.5,2025-03-25
652,163,Camera,1079.52,2025-02-05
653,1206,Headphones,89.51,2025-12-21
654,34,Tablet,647.91,2025-03-22
655,62,Monitor,1642.32,2025-11-09
656,262,Camera,420.08,2025-11-22
657,1495,Laptop,1864.33,2025-12-18
658,1269,Headphones,1100.06,2025-12-24
659,780,Laptop,1556.84,2025-08-01
660,335,Phone,875.34,2025-01-23
661,241,Headphones,955.17,2025-07-19
662,34,Monitor,1447.84,2025-03-26
663,1158,Phone,492.91,2025-03-20
664,1161,Tablet,1165.25,2025-08-09
665,592,Tablet,1108.19,2025-03-20
666,149,Headphones,1079.1,2025-03-23
667,145,Phone,1024.56,2025-08-24
668,576,Monitor,979.26,2025-02-19
669,231,Laptop,1310.8,2025-02-19
670,805,Headphones,234.97,2025-05-11
671,1308,Tablet,1921.73,2025-11-07
672,1254,Camera,734.11,2025-04-01
673,928,Laptop,1265.42,2025-01-26
674,274,Headphones,1810.71,2025-07-19
675,1444,Tablet,497.98,2025-12-01
676,981,Headphones,861.13,2025-07-11
677,409,Tablet,1074.05,2025-06-19
678,241,Tablet,1142.54,2025-06-07
679,584,Headphones,251.05,2025-03-27
680,831,Monitor,539.08,2025-10-04
